Num Layers,Runs,Train_Last100_Mean,Train_Last100_Std,Eval_Mean,Eval_Std,Best_Reward_Mean,Mean_Reward_Mean,Mean_Loss,Eval_SEM,Train_Last100_SEM
1,5,-60.553214940335955,8.476759255979944,-34.715724449467324,7.649757192652722,288.64388038777423,-110.99056938981657,37.92878544198818,3.421075418827888,3.790921985054339
2,5,-38.84529984381048,38.79005437050536,-93.9721526643045,97.03514742973168,281.3169980046449,-95.56883436020962,32.13756042207069,43.39543717191881,17.34743968467256
3,5,-7.738909732375118,39.598110139931585,-0.25861763789970665,83.12187970067082,287.6764816423654,-89.15105129420165,32.12045067888377,37.17323468565196,17.708813210682145
4,5,-74.04021938275682,47.005172249674246,-120.85177363397506,78.24117681100944,286.1282395318719,-111.05419725348636,32.646519656624946,34.990517997799465,21.021352088871666
5,5,-54.63613022101727,23.163883326769366,-111.2155056062629,140.24460425516264,277.9468357220146,-117.62712809919405,34.362620025192875,62.71929371841998,10.359203548306054
