Num Layers,Seed,Best Training Reward,Training Avg Last 100,Training Avg Last 25,Training Mean Reward,Training Std Reward,Evaluation Avg Reward,Evaluation Std Reward,Mean Loss
1,0,270.59295412708263,-51.728821401605536,-63.30357208856523,-127.65839704577047,142.87556920041428,-31.681959398747665,156.57906734011453,39.965770214205364
1,1,274.6038615714541,-73.0395635717527,-66.02556743073757,-106.85115753102254,123.825876317273,-39.11137909508456,128.1425665252687,36.39848020721749
1,2,304.4345851726103,-53.883309857356224,-71.79461097954929,-98.96718025119262,132.81054408525847,-24.825486130636467,147.33226547635502,38.133380429806785
1,3,288.5365995600573,-60.535439122161876,2.018778297313525,-107.712578055444,124.16514501805989,-33.00635504337273,178.080294393519,36.83606226770232
1,4,305.0514015076669,-63.578940748803426,-52.375259973175034,-113.7635340656533,132.13205314953439,-44.953442579495196,158.53056129318193,38.310234091008944
2,0,273.8639253849841,-15.316378790454904,-6.4397839512040465,-92.1845416804875,135.5678766514287,-67.08353513230009,128.84702585245847,33.64506639385098
2,1,290.38201710572275,-21.533300990817555,-39.8525629397529,-91.45557640751028,130.75534278163352,-29.162564732829765,156.1802463644869,31.646924664764075
2,2,273.3050563180844,-106.748246776616,-120.28321414122793,-114.49848912066592,115.96882563722554,-256.10107844316315,87.11647884937436,32.29622334512404
2,3,286.5260149093085,-35.01920741465661,-75.47036722351436,-94.69259684955641,128.7240572271687,-14.18119856816663,129.1525300458494,30.1800205191516
2,4,282.50797630512477,-15.609365246507359,12.521290938714861,-85.01296774282801,140.30805297940188,-103.3323864450629,113.224421900417,32.91956718746275
3,0,279.9032331082516,-44.467820071952,-47.06198464545861,-111.63332211532627,152.74620699355845,-18.26414116817194,195.90124140486316,33.96623551164521
3,1,283.84093247559514,24.668794449876668,42.751500801065525,-88.26981522180957,151.09805876976307,22.53711370450209,181.47703812688948,30.77714322939661
3,2,266.2362552315747,-56.019688316799666,-58.2759121977321,-100.92565658888533,112.64102009504091,-124.91710111807083,90.84963020904839,30.384720527937432
3,3,304.2204465776615,9.666825997577737,95.98320902649819,-73.75092264954203,148.38096834023122,14.568957284133878,105.96231957235514,33.71385287408907
3,4,304.181540818744,27.45733927942167,81.78270503893528,-71.17553989544506,156.8712213398882,104.78208310810828,150.14937732317176,31.760301251350526
4,0,291.64157936154356,-96.94808591225728,-33.57322565030477,-108.8999506148846,147.9791728555573,-114.81764492928092,107.80320437959375,34.21822671302532
4,1,287.55284160194543,-18.041966083449964,-29.780377154033193,-91.48400285919139,133.7308606616984,-72.17175626565978,142.01711977697295,31.59362022813069
4,2,262.915287356871,-140.27465442229712,-149.5703598990478,-138.69174411036573,141.53174168255472,-229.08981261033668,129.34010185490988,30.657255676098206
4,3,293.79471198071633,-46.488536816974644,-19.057067473680576,-105.13327536636027,150.61167928441665,-160.9205669570057,89.96398139207542,32.850857044320236
4,4,294.73677735828323,-68.44785367880507,-94.26225764272866,-111.06201331662983,164.8391709123534,-27.259087407592215,158.33251360011974,33.9126386215503
5,0,274.2847791378789,-49.317006836149574,47.84802604989899,-106.94714624249347,148.5988097390013,-300.8142317768529,78.54164581218672,36.39067341961745
5,1,279.83592799296036,-71.59136638946585,-115.48096544692986,-128.4419505357314,144.28300643143675,-9.003941427327316,146.11751440159227,36.39806053916743
5,2,285.2205592536644,-42.704167886160775,-13.324302332774039,-115.85833410177366,126.79436954300886,22.996963651265702,123.99248642647825,32.589268985676966
5,3,275.3495304181328,-25.731745558724906,9.043921672775948,-122.08021557234987,160.76464971033852,-53.480073405771805,173.02440194989637,32.80605801598655
5,4,275.0433818074365,-83.83636443458525,-65.90201809393764,-114.80799404362189,154.77586849078003,-215.77624507262817,173.8199283148497,33.62903916551598
